"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","COMMENT","CONFIG","EPC PART NUMBER","MFG","MFGPN","NAME","PART NUMBER","QSGDESCRIPT","SCHDESCRIPT","STATUS","STATUS1","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER 6","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","SUPPLIER PART NUMBER 6","SHEETPART","DESIGNATOR","DESCRIPTION"
"EPC2037","D0353","","=MFGPN","*","EPC2037","EPC","EPC2037","","EPC2037","100V 550mE 1.7A","100V 550mE 1.7A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1137-2-ND","917-1137-1-ND","917-1137-6-ND","","","","","Q?","100V 550mE 1.7A"
"EPC2038","D0353","","=MFGPN","*","EPC2038","EPC","EPC2038","","EPC2038","100V 3300mE 0.5A","100V 3300mE 0.5A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1138-2-ND","917-1138-1-ND","917-1138-6-ND","","","","","Q?","100V 3300mE 0.5A"
"EPC2039","D0144","","=MFGPN","*","EPC2039","EPC","EPC2039","","EPC2039","80V 25mE 6.8A","80V 25mE 6.8A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1147-2-ND","917-1147-1-ND","917-1147-6-ND","","","","","Q?","80V 25mE 6.8A"
"EPC2040","D0210","","=MFGPN","*","EPC2040","EPC","EPC2040","","EPC2040","15V 30mE 3.4A","15V 30mE 3.4A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1153-2-ND","917-1153-1-ND","917-1153-6-ND","","","","","Q?","15V 30mE 3.4A"
"EPC2045","D0012","","=MFGPN","*","EPC2045","EPC","EPC2045","","EPC2045","100V 7mE 16A","100V 7mE 16A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1186-2-ND","917-1186-1-ND","917-1186-6-ND","","","","","Q?","100V 7mE 16A"
"EPC2050","D0078","","=MFGPN","*","EPC2050","EPC","EPC2050","","EPC2050","350V 65mE 6.3A","350V 65mE 6.3A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","EPC2050-ND","","","","","","","Q?","350V 65mE 6.3A"
"EPC2051","D0001","","=MFGPN","*","EPC2051","EPC","EPC2051","","EPC2051","100V 25mE 1.7A","100V 25mE 1.7A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1201-2-ND","917-1201-1-ND","917-1201-6-ND","","","","","Q?","100V 25mE 1.7A"
"EPC2052","D0045","","=MFGPN","*","EPC2052","EPC","EPC2052","","EPC2052","100V 13.5mE 8.2A","100V 13.5mE 8.2A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1202-2-ND","917-1202-1-ND","917-1202-6-ND","","","","","Q?","100V 13.5mE 8.2A"
"EPC2053","D0034","","=MFGPN","*","EPC2053","EPC","EPC2053","","EPC2053","100V 3.8mE 48A","100V 3.8mE 48A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1204-2-ND","917-1204-1-ND","917-1204-6-ND","","","","","Q?","100V 3.8mE 48A"
"EPC2054","D0474","","=MFGPN","","EPC2054","EPC","EPC2054","","EPC2054","200V 32mE 2.4A","200V 32mE 2.4A","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1206-2-ND","","","","","","","Q?","200V 32mE 2.4A"
"EPC2055","D0133CT44M","","=MFGPN","*","EPC2055","EPC","EPC2055","","EPC2055","40V 29A 3.6mE","40V 29A 3.6mE","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-EPC2055CT-ND","917-EPC2055TR-ND","917-EPC2055DKR-ND","","","","","Q?","40V 29A 3.6mE"
"EPC2059","D0298T34M","","=MFGPN","*","EPC2059","EPC","EPC2059","","EPC2059","170V 24A 6.8mE","170V 24A 6.8mE","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-EPC2059CT-ND","917-EPC2059TR-ND","917-EPC2059DKR-ND","","","","","Q?","170V 25A 9mE"
"EPC2065","D0320T34M","","=MFGPN","","EPC2065","EPC","EPC2065","","EPC2065","80 V 60A 3.6mE","80 V 60A 3.6mE","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-EPC2065TR-ND","","","","","","","Q?","80 V 60A 3.6mE"
"EPC2100","D0342","","=MFGPN","*","EPC2100","EPC","EPC2100","","EPC2100","30V 8.2mE/2.1mE 10A/40A 1:4HB","30V 8.2mE/2.1mE 10A/40A 1:4HB","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1180-2-ND","917-1180-1-ND","917-1180-6-ND","","","","","Q?","30V 8.2mE/2.1mE 10A/40A 1:4HB"
"EPC2101","D0342","","=MFGPN","*","EPC2101","EPC","EPC2101","","EPC2101","60V 11.5mE/2.8mE 10A/40A 1:4HB","60V 11.5mE/2.8mE 10A/40A 1:4HB","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1181-2-ND","917-1181-1-ND","917-1181-6-ND","","","","","Q?","60V 11.5mE/2.8mE 10A/40A 1:4HB"
"EPC2102","D0342","","=MFGPN","*","EPC2102","EPC","EPC2102","","EPC2102","60V 4.9mE 30A 1:1HB","60V 4.9mE 30A 1:1HB","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1182-2-ND","917-1182-1-ND","917-1182-6-ND","","","","","Q?","60V 4.9mE 30A 1:1HB"
"EPC2103","D0342","","=MFGPN","*","EPC2103","EPC","EPC2103","","EPC2103","80V 5.5mE 30A 1:1HB","80V 5.5mE 30A 1:1HB","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1183-2-ND","917-1183-1-ND","917-1183-6-ND","","","","","Q?","80V 5.5mE 30A 1:1HB"
"EPC2104","D0342","","=MFGPN","*","EPC2104","EPC","EPC2104","","EPC2104","100V 6.8mE 30A 1:1HB","100V 6.8mE 30A 1:1HB","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1184-2-ND","917-1184-1-ND","917-1184-6-ND","","","","","Q?","100V 6.8mE 30A 1:1HB"
"EPC2105","D0342","","=MFGPN","*","EPC2105","EPC","EPC2105","","EPC2105","80V 14.5mE/3.6mE 10A/40A 1:4HB","80V 14.5mE/3.6mE 10A/40A 1:4HB","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1185-2-ND","917-1185-1-ND","917-1185-6-ND","","","","","Q?","80V 14.5mE/3.6mE 10A/40A 1:4HB"
"EPC2106","D0144","","=MFGPN","*","EPC2106","EPC","EPC2106","","EPC2106","100V 70mE 1.7A 1:1HB","100V 70mE 1.7A 1:1HB","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1110-2-ND","917-1110-1-ND","917-1110-6-ND","","","","","Q?","100V 70mE 1.7A 1:1HB"
"EPC2107","D0144","","=MFGPN","*","EPC2107","EPC","EPC2107","","EPC2107","100V 390mE 1.7A 1:1HB","100V 390mE 1.7A 1:1HB","Released","","Digi-Key","Digi-Key","Digi-Key","","","","917-1168-2-ND","917-1168-1-ND","917-1168-6-ND","","","","","Q?","100V 390mE 1.7A 1:1HB"
